OBJECTID,Subwatersh,SubW_ID,GlobalID,Shape__Are,Shape__Len,NUMPOINTS
13,LOWER BOLIN CREEK,BL5,{C1B848A7-BE87-431B-88F9-D6C4EE7D8017},40608527.801302462816238,36271.718658286670689,7
18,MIDDLE BOLIN CREEK,BL4,{77D9309F-6224-4A7F-9759-CAA92BDF8B97},94964995.267642155289650,52861.742791272808972,9
